Sensor,Importance value
sensor8,0.6072906
sensor6,0.16867656
sensor4,0.086006284
sensor0,0.061668806
sensor1,0.03883173
sensor2,0.022304006
sensor5,0.007028292
sensor3,0.0033956545
sensor7,0.002461418
sensor9,0.0023367333
